Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
07-12-2015,24:00,3,V,0.5,V,44,V,19,V,51,V
08-12-2015,24:00,7,V,0.5,V,36,V,25,V,43,V
09-12-2015,24:00,4,V,0.6,V,38,V,27,V,48,V
10-12-2015,24:00,3,V,0.5,V,35,V,26,V,39,V
11-12-2015,24:00,3,V,0.5,V,36,V,28,V,45,V
12-12-2015,24:00,3,V,0.5,V,28,V,32,V,31,V
13-12-2015,24:00,4,V,0.5,V,28,V,46,V,32,V
14-12-2015,24:00,2,V,0.7,V,43,V,50,V,61,V
15-12-2015,24:00,3,V,0.6,V,41,V,55,V,56,V
16-12-2015,24:00,6,V,0.5,V,34,V,39,V,43,V
17-12-2015,24:00,2,V,0.6,V,49,V,34,V,77,V
18-12-2015,24:00,5,V,0.7,V,56,V,23,V,99,V
19-12-2015,24:00,4,V,0.6,V,41,V,17,V,52,V
20-12-2015,24:00,2,V,0.5,V,14,V,15,V,16,V
21-12-2015,24:00,2,V,0.5,V,21,V,11,V,25,V
22-12-2015,24:00,7,V,0.5,V,39,V,31,V,45,V
23-12-2015,24:00,4,V,0.5,V,41,V,29,V,55,V
24-12-2015,24:00,3,V,0.4,V,29,V,27,V,33,V
25-12-2015,24:00,2,V,0.4,V,26,V,145,V,29,V
26-12-2015,24:00,2,V,0.3,V,14,V,186,V,16,V
27-12-2015,24:00,2,V,0.3,V,14,V,81,V,15,V
28-12-2015,24:00,3,V,0.3,V,26,V,10,V,30,V
29-12-2015,24:00,9,V,0.4,V,50,V,20,V,71,V
30-12-2015,24:00,2,V,0.3,V,32,V,17,V,38,V
31-12-2015,24:00,2,V,0.4,V,29,V,29,V,33,V
